rank,name,domain,category,opt_out_url,email,phone,opt_out_hub,leverage,priority_score,sensitivity_score,onward_sale_score,ca_registered,collects_minors,sold_to_genai,sold_to_law_enforcement,deletion_requests_received,deletion_compliance_rate,deletion_median_response_days,removal_method,sources
42,Acxiom,acxiom.com,marketing,https://www.acxiom.com/optout/,consumeradvo@acxiom.com,5013421000,,1,58.0,3,1,True,True,,,58416,0.984,5.0,form,curated|cppa-registry-current|cppa-registry-historical
43,"33Across, Inc.",33across.com,,www.33across.com,privacy@33across.com,18882974094,,1,57.5,0,0,True,False,False,False,10478,0.192,10.0,,cppa-registry-current|cppa-registry-historical
44,The Alesco Group LLC,alescodata.com,,www.alescodata.com,legal@alescodata.com,2392777529,,1,57.5,0,2,True,False,False,True,326818,0.975,1.0,,cppa-registry-current|cppa-registry-historical
45,AnyWho,anywho.com,people-search,https://www.spokeo.com/optout,privacy@spokeo.com,,spokeo.com,2,57.4,0,0,,,,,,,,form,curated
46,BeenVerified,beenverified.com,people-search,https://www.beenverified.com/app/optout/search,privacy@beenverified.com,,beenverified.com,2,57.4,0,0,,,,,,,,form,curated
47,eContext.ai LLC,complementics.com,,https://www.complementics.com/optout-donotsell,akatavic@econtext.ai,312-477-7313,,1,57.4,1,0,True,False,False,False,1340,0.17,3.0,,cppa-registry-current|cppa-registry-historical
48,Addresses.com,addresses.com,people-search,https://suppression.peopleconnect.us,,,suppression.peopleconnect.us,5,57.0,0,0,,,,,,,,form,curated
49,"Epsilon Data Management, LLC",epsilon.com,,https://legal.epsilon.com/dsr/,privacy@epsilon.com,8662673861,,1,57.0,1,1,True,False,False,False,4985,0.54,2.0,,cppa-registry-current|cppa-registry-historical
50,US Search,ussearch.com,people-search,https://suppression.peopleconnect.us,,,suppression.peopleconnect.us,5,57.0,0,0,,,,,,,,form,curated
51,"Cuebiq Group, LLC",cuebiq.com,,https://cuebiq.com/privacy-request/,legal@cuebiq.com,6469146384,,1,56.8,1,0,True,False,False,False,26285436,0.997,4.0,,cppa-registry-current|cppa-registry-historical
52,"Azira, LLC",azira.com,,https://azira.com/privacy-policy,privacy@azira.com,6268897680,,1,56.7,1,0,True,False,False,False,5042679,1.0,1.0,,cppa-registry-current
53,"Crunchbase, Inc.",crunchbase.com,,https://about.crunchbase.com/terms-of-service/privacy-policy,legal@crunchbase.com,4158490002,,1,56.3,1,3,True,False,True,True,423,0.494,48.0,,cppa-registry-current|cppa-registry-historical
54,411.com,411.com,people-search,https://www.whitepages.com/suppression-requests,support@whitepages.com,,,1,56.2,0,0,,,,,,,,form,curated
55,FastBackgroundCheck,fastbackgroundcheck.com,people-search,https://www.fastbackgroundcheck.com/removal,support@fastbackgroundcheck.com,,,1,56.2,0,0,,,,,,,,form,curated
56,National Public Data,nationalpublicdata.com,people-search,https://nationalpublicdata.com/optout.html,support@nationalpublicdata.com,,,1,56.2,0,0,,,,,,,,form,curated
57,Nuwber,nuwber.com,people-search,https://nuwber.com/removal/link,support@nuwber.com,8449121292,,1,56.2,0,0,True,,,,,,,form,curated|cppa-registry-current|cppa-registry-historical
58,PeopleFinders,peoplefinders.com,people-search,https://www.peoplefinders.com/opt-out,customercare@peoplefinders.com,,,1,56.2,0,0,True,,,,,,,form,curated|cppa-registry-historical
59,PeopleLooker,peoplelooker.com,people-search,https://www.peoplelooker.com/app/optout/form,privacy@beenverified.com,,,1,56.2,0,0,,,,,,,,form,curated
60,PeopleSmart,peoplesmart.com,people-search,https://www.peoplesmart.com/app/optout/search,privacy@beenverified.com,,,1,56.2,0,0,,,,,,,,form,curated
61,Radaris,radaris.com,people-search,https://radaris.com/control/privacy,customer-service@radaris.com,,,1,56.2,0,0,,,,,,,,form,curated
62,SmartBackgroundChecks,smartbackgroundchecks.com,people-search,https://www.smartbackgroundchecks.com/optout,privacy@mtalley.zendesk.com,,,1,56.2,0,0,,,,,,,,form,curated
63,SpyDialer,spydialer.com,people-search,https://spydialer.com/Consumers/,info@spydialer.com,8668342579,,1,56.2,0,0,True,,,,,,,form,curated|cppa-registry-current|cppa-registry-historical
64,USPhoneBook,usphonebook.com,people-search,https://www.usphonebook.com/removal,support+optout@usphonebook.com,,,1,56.2,0,0,,,,,,,,form,curated
65,Disqus,disqus.com,,www.Disqus.com,privacy@disqus.com,2129675055,,1,55.9,2,0,True,False,False,False,1475,0.43,1.0,,cppa-registry-current|cppa-registry-historical
66,LiveIntent,liveintent.com,,https://www.liveintent.com/privacy-policy/,privacy@zetaglobal.com,2129675055,,1,55.7,2,0,True,False,False,False,452535,1.0,4.0,,cppa-registry-current|cppa-registry-historical
67,Key Marketing Advantage,keymarketingadvantage.com,,https://keymarketingadvantage.com/do_not_use_my_personal_information,lbridson@keymarketingadvantage.com,2034912200,,1,54.8,0,0,True,False,False,False,2297,0.175,15.0,,cppa-registry-current|cppa-registry-historical
68,PitchBook Data Inc,pitchbook.com,,https://pitchbook.com/privacy-policy,legal@pitchbook.com,(206) 623-1986,,1,54.6,0,4,True,False,True,True,949,1.0,5.0,,cppa-registry-current|cppa-registry-historical
69,RocketReach LLC,rocketreach.co,,https://rocketreach.co/privacy,privacy@rocketreach.co,8332123828,,1,53.7,0,3,True,False,True,True,5887,1.0,4.0,,cppa-registry-current|cppa-registry-historical
70,Cybba Inc.,cybba.com,,https://cybba.com,privacy@cybba.com,(857) 284-7000,,1,53.6,1,0,True,False,False,False,933375,1.0,16.0,,cppa-registry-current|cppa-registry-historical
71,"Clearview AI, Inc.",clearview.ai,,https://www.clearview.ai/privacy-and-requests,privacy-requests@clearview.ai,866-637-0257,,1,53.3,1,2,True,False,False,True,1425,0.832,17.0,,cppa-registry-current|cppa-registry-historical
72,"Labels & Lists, Inc",l2-data.com,,https://www.l2-data.com/wp-content/uploads/2025/08/L2-Privacy-Notice-19Aug25v3.pdf,lauren.pembo@l2political.com,800-842-5478,,1,52.9,1,1,True,False,False,False,65891,1.0,4.0,,cppa-registry-current
73,Uplead LLC,uplead.com,,https://www.uplead.com/opt-out/,techteam@uplead.com,(800) 493-4084,,1,52.9,0,0,True,False,False,False,4063777,1.0,15.0,,cppa-registry-current|cppa-registry-historical
74,"Chartboost, LLC",loopme.com,,https://loopme.ai/chartboost/,privacy@loopme.com,7779991560,,1,52.4,1,1,True,False,False,False,52042,1.0,1.0,,cppa-registry-current|cppa-registry-historical
75,AdvancedBackgroundChecks,advancedbackgroundchecks.com,people-search,https://www.advancedbackgroundchecks.com/removal,,,,1,52.2,0,0,,,,,,,,form,curated
76,ClustrMaps,clustrmaps.com,people-search,https://clustrmaps.com/bl/opt-out,,,,1,52.2,0,0,,,,,,,,form,curated
77,"Dice Career Solutions, Inc.",dice.com,,https://www.dice.com/about/ccpa,support@dice.com,888-321-3423,,1,52.2,1,0,True,False,False,False,453710,1.0,1.0,,cppa-registry-current|cppa-registry-historical
78,DOBSearch,dobsearch.com,people-search,https://www.dobsearch.com/people-finder/block-record-request.php,,,,1,52.2,0,0,,,,,,,,form,curated
79,"Experian Information Solutions, Inc",experian.com,,https://www.experian.com/privacy/us-consumer-data-privacy-policy,ca_drop_fsd@experian.com,714-830-7000,,1,52.2,2,2,True,True,True,False,794,1.0,1.0,,cppa-registry-current|cppa-registry-historical
80,IDCrawl,idcrawl.com,people-search,https://www.idcrawl.com/remove-my-information,,,,1,52.2,0,0,,,,,,,,form,curated
81,IDStrong,idstrong.com,people-search,https://www.idstrong.com/optout/,,,,1,52.2,0,0,,,,,,,,form,curated
82,InfoTracer,infotracer.com,people-search,https://infotracer.com/optout/,,,,1,52.2,0,0,,,,,,,,form,curated
83,Neighbor.Report,neighbor.report,people-search,https://neighbor.report/remove,,,,1,52.2,0,0,,,,,,,,form,curated
84,OfficialUSA,officialusa.com,people-search,https://www.officialusa.com/opt-out/,,,,1,52.2,0,0,,,,,,,,form,curated
85,PeopleByName,peoplebyname.com,people-search,http://www.peoplebyname.com/remove.php,,,,1,52.2,0,0,,,,,,,,form,curated
86,PeopleSearchNow,peoplesearchnow.com,people-search,https://www.peoplesearchnow.com/opt-out,,,,1,52.2,0,0,,,,,,,,form,curated
87,PrivateEye,privateeye.com,people-search,https://www.privateeye.com/removal,,,,1,52.2,0,0,,,,,,,,form,curated
88,PublicDataUSA,publicdatausa.com,people-search,https://publicdatausa.com/optout,,,,1,52.2,0,0,,,,,,,,form,curated
89,RecordsFinder,recordsfinder.com,people-search,https://recordsfinder.com/optout/,,,,1,52.2,0,0,,,,,,,,form,curated
90,Rehold,rehold.com,people-search,https://rehold.com/control/privacy,,,,1,52.2,0,0,,,,,,,,form,curated
91,Search People Free,searchpeoplefree.com,people-search,https://www.searchpeoplefree.com/opt-out/email,,,,1,52.2,0,0,,,,,,,,form,curated
92,SearchQuarry,searchquarry.com,people-search,https://members.searchquarry.com/removeMyData/,,,,1,52.2,0,0,,,,,,,,form,curated
93,USA People Search,usa-people-search.com,people-search,https://www.usa-people-search.com/manage,,,,1,52.2,0,0,,,,,,,,form,curated
94,Veripages,veripages.com,people-search,https://veripages.com/inner/control-privacy,,,,1,52.2,0,0,,,,,,,,form,curated
95,"Peoplewhiz, Inc",peoplewhiz.com,,https://www.peoplewhiz.com,cyrus@peoplewhiz.com,8332769449,,1,52.0,0,0,True,False,False,False,2569965,1.0,0.0,,cppa-registry-current
96,Ziff Davis LLC,ziffdavis.com,,https://www.ziffdavis.com,legal@ziffdavis.com,2125033500,,1,52.0,2,1,True,False,False,False,7099,1.0,7.0,,cppa-registry-current
97,"Consumerbase, LLC",exactdata.com,,https://www.exactdata.com,privacy@exactdata.com,(402) 836-3377,,1,51.8,1,1,True,True,True,False,37141,1.0,9.0,,cppa-registry-current|cppa-registry-historical
98,Data Axle Inc.,data-axle.com,,https://www.data-axle.com,privacyteam@data-axle.com,(402) 836-3377,,1,51.8,1,1,True,True,True,False,37141,1.0,9.0,,cppa-registry-current|cppa-registry-historical
99,Adstra LLC,adstradata.com,,https://www.adstradata.com/privacy-policy/,privacy.officer@adstradata.com,609-580-2800,,1,51.6,0,0,True,False,False,False,2583,0.348,4.0,,cppa-registry-current
100,"Ray CDP, Inc.",rayinsights.com; www.raycdp.com,,www.rayinsights.com,ddemarsh@rayinsights.com,7203080758,rayinsights.com,2,51.3,0,0,True,False,False,False,4490,0.478,2.0,,cppa-registry-current
101,Dun and Bradstreet Inc.,dnb.com,,https://www.dnb.com/en-us/why-dnb/data-transparency.html,privacyofficer@dnb.com,9046486350,,1,50.9,0,3,True,False,True,True,998,0.965,8.0,,cppa-registry-current|cppa-registry-historical
102,Affinity Answers Corporation,affinityanswers.com,,https://www.affinityanswers.com/your-privacy-choices/,dataprivacy@affinityanswers.com,5122228582,,1,50.7,0,0,True,False,False,False,27278,0.622,8.0,,cppa-registry-current|cppa-registry-historical
103,Fifty Technology Ltd,fifty.io,,https://fifty.io/privacy-policy,privacy@fifty.io,2038588950,,1,50.5,0,0,True,False,False,False,1145868,1.0,1.0,,cppa-registry-current|cppa-registry-historical
104,"Focus USA, Inc.",focus-usa.com,,https://www.focus-usa.com/your-privacy-choices/,michaelu@focus-usa.com,2014892525,,1,50.1,0,0,True,False,False,False,965924,1.0,1.0,,cppa-registry-current|cppa-registry-historical
105,Fourleaf LLC,fourleafdata.com,,https://www.fourleafdata.com/,privacy@fourleafdata.com,8003606213,,1,50.1,0,0,True,False,False,False,953753,1.0,1.0,,cppa-registry-current|cppa-registry-historical
106,"Share Local Media, Inc.",sharelocalmedia.com,,https://www.sharelocalmedia.com/privacy-policy,privacy-team@sharelocalmedia.com,(904) 543-3803,,1,50.0,0,0,True,False,False,False,892395,0.998,1.0,,cppa-registry-current|cppa-registry-historical
107,AGR Marketing Solutions LLC,agrmarketingsolutions.com,,www.agrmarketingsolutions.com,stephen@agrmarketingsolutions.com,2398342371,,1,49.9,0,0,True,False,False,False,846141,1.0,1.0,,cppa-registry-current|cppa-registry-historical
108,Catalina Marketing Corporation,catalina.com,,www.catalina.com,privacyteam@catalina.com,7275795000,,1,49.9,1,0,True,False,False,False,140020,1.0,3.0,,cppa-registry-current|cppa-registry-historical
109,"SalesIntel Research, Inc.",salesintel.io,,www.salesintel.io,support@salesintel.io,5715927045,,1,49.7,0,0,True,False,False,False,786044,1.0,1.0,,cppa-registry-current|cppa-registry-historical
110,"5x5 US, LLC",5x5data.com,,https://privacy.5x5data.com/5x5/opt-out,contact@join5x5.com,5085457902,,1,49.6,1,0,True,False,False,False,123378,1.0,1.0,,cppa-registry-current
111,"Digital Safety Products, LLC",spyfly.com; publicrecordreports.com,,https://www.spyfly.com/help-center/privacy,privacyinfo@spyfly.com,8008319235,,1,49.6,2,0,True,False,False,False,16055,0.976,3.0,,cppa-registry-current
112,"LionShare Marketing, Inc",lionsharemarketing.com,,www.lionsharemarketing.com,ap@lionsharemarketing.com,9136318400,,1,49.6,0,0,True,False,False,False,749588,1.0,1.0,,cppa-registry-current|cppa-registry-historical
113,"Civil Data Research, LLC",searchpublicrecords.com,,https://www.searchpublicrecords.com/help-center/privacy,privacyinfo@searchpublicrecords.com,8007192498,,1,49.4,2,0,True,False,False,False,17117,0.994,3.0,,cppa-registry-current
114,"Information Data Resources, LLC",publicinfoservices.com,,https://www.publicinfoservices.com/help-center/privacy,privacyinfo@publicinfoservices.com,8006173169,,1,49.3,2,0,True,False,False,False,16824,0.994,3.0,,cppa-registry-current
115,Redi-Data Inc,redidata.com,,https://www.redidata.com/privacy-policy/,privacy@redidata.com,9732274380,,1,49.3,0,0,True,False,False,False,617950,1.0,11.0,,cppa-registry-current|cppa-registry-historical
116,"National Data Analytics, LLC",publicdatacheck.com,,publicdatacheck.com,privacyinfo@publicdatacheck.com,8009500953,,1,49.2,2,0,True,False,False,False,14915,0.987,3.0,,cppa-registry-current
117,PimEyes,pimeyes.com,face-search,https://pimeyes.com/en/opt-out,dpo@pimeyes.com,,,1,49.2,0,0,,,,,,,,form,curated
118,Scalable Commerce LLC,kidslivesafe.com; quickpublicrecords.com,,https://www.kidslivesafe.com/help-center/privacy,privacyinfo@kidslivesafe.com,8003015905,,1,48.9,2,0,True,False,False,False,13957,0.996,3.0,,cppa-registry-current
119,"Interactive Data, LLC",ididata.com,,https://www.ididata.com/idis-privacy-statement/,statebasedprivacy@ididata.com,888-376-6659,,1,48.8,1,2,True,False,False,True,171,0.099,6.0,,cppa-registry-current|cppa-registry-historical
120,"Jun Group Productions, LLC",jungroup.com,,jungroup.com,ccpa@jungroup.com,3479184586,,1,48.8,0,0,True,False,False,False,684,0.064,26.0,,cppa-registry-current|cppa-registry-historical
121,Melissa Data Corporation,melissa.com,,https://www.melissa.com/privacy,compliance@melissa.com,8005070870,,1,48.8,0,2,True,False,False,True,4203,0.985,4.0,,cppa-registry-current|cppa-registry-historical
122,"Foursquare Labs, Inc.",foursquare.com,,https://foursquare.com,privacyteam@foursquare.com,914-355-9124,,1,48.7,1,0,True,False,False,False,76321,0.997,10.0,,cppa-registry-current|cppa-registry-historical
123,"Marriott International, Inc.",marriott.com,,https://www.marriott.com/about/privacy.mi,privacy@marriott.com,800-218-9316,,1,48.5,4,0,True,True,False,False,331,1.0,16.0,,cppa-registry-current
124,"Guidestar Direct, Corp.",carneydirect.com,,https://www.carneydirect.com/privacy-policy/,privacy@carneydirect.com,9495815100,,1,48.4,0,0,True,False,False,False,400410,1.0,11.0,,cppa-registry-current|cppa-registry-historical
125,"Valassis Communications, Inc.",rrd.com,,https://www.rrd.com/privacy-policy/valassis,valassisprivacy.request@rrd.com,6303226000,,1,48.4,1,0,True,False,False,False,67433,1.0,8.0,,cppa-registry-current|cppa-registry-historical
126,BIGDBM,bigdbm.com; https,,https://optout.bigdbm.com/,privacy@bigdbm.com,3365587717,,1,48.3,0,0,True,False,False,False,380900,1.0,3.0,,cppa-registry-current
127,Speedeon Data LLC,speedeondata.com,,www.speedeondata.com,accounting@speedeondata.com,866-647-9219,,1,48.3,0,0,True,False,False,False,385112,1.0,1.0,,cppa-registry-current|cppa-registry-historical
128,Attribits,attribits.com,,https://www.attribits.com/privacy-policy,compliance@allgoodmediagroup.com,6179917065,,1,48.2,0,0,True,False,False,False,358017,1.0,5.0,,cppa-registry-current|cppa-registry-historical
129,Institutional Shareholder Services Inc.,issgovernance.com,,https://www.issgovernance.com/privacy-legal/ccpa/,dataprotectionofficer@issgovernance.com,3015560357,,1,48.2,1,2,True,False,False,False,141,0.014,0.0,,cppa-registry-current|cppa-registry-historical
130,"Bridg, a division of Cardlytics, Inc.",bridg.com,,https://www.bridg.com/privacy-policy,legalnotices@cardlytics.com,(888) 798-5802,,1,48.1,0,0,True,False,False,False,343121,1.0,4.0,,cppa-registry-current|cppa-registry-historical
131,"InMarket Media, LLC",inmarket.com,,preferences.inmarket.com; inmarket.com/privacy,jknapp@inmarket.com,310-392-0500,,1,48.1,1,0,True,False,False,False,55981,1.0,7.0,,cppa-registry-current|cppa-registry-historical
132,"Allant Group, LLC",allantgroup.com,,https://allantgroup.com/privacy-policy,privacy@allantgroup.com,6303553003,,1,48.0,0,0,True,False,False,False,328828,1.0,1.0,,cppa-registry-current
133,"Findem, Inc.",findem.ai,,https://www.findem.ai/privacy-policy-platform,privacy@findem.ai,(650) 632-7215,,1,48.0,0,0,True,False,False,False,318244,1.0,1.0,,cppa-registry-current|cppa-registry-historical
134,"Integrated Direct Marketing, LLC",idm.us.com,,https://www.idm.us.com/do-not-sell-my-personal-information/,ccpa@idm.us.com,703-547-4961,,1,48.0,0,0,True,False,False,False,330619,1.0,5.0,,cppa-registry-current|cppa-registry-historical
135,"Orgio, Inc.",theorg.com,,https://theorg.com/do-not-sell,privacy@theorg.com,6469606241,,1,48.0,0,1,True,False,False,False,17771,0.939,2.0,,cppa-registry-current
136,"Fideo Intelligence, Inc.",fideo.ai,,https://app.fideo.ai/your-privacy-choices,dpo@fideo.ai,8883306943,,1,47.9,1,1,True,False,False,False,5125,1.0,3.0,,cppa-registry-current
137,General Motors LLC,gm.com,,https://www.gm.com/consumer-privacy,privacy@gm.com,866-697-7482,,1,47.9,4,0,True,False,False,False,200,0.91,30.0,,cppa-registry-current
138,LeadPost LLC,leadpost.com,,https://leadpost.com/privacy-policy/,amanda@leadpost.com,(866) 456-6674,,1,47.9,0,0,True,False,False,False,309072,1.0,1.0,,cppa-registry-current|cppa-registry-historical
139,Anchor Computer Inc.,anchorcomputer.com,,http://www.anchorcomputer.com/,hkhan@anchorcomputer.com,(631) 306-9336,,1,47.8,0,0,True,False,False,False,280939,0.996,14.0,,cppa-registry-current|cppa-registry-historical
140,Pacific East Research Inc,pacificeast.com,,www.pacificeast.com,privacy@pacificeast.com,5037474474,,1,47.8,0,0,True,False,False,False,286952,1.0,1.0,,cppa-registry-current|cppa-registry-historical
141,Versar Data Solutions Inc,versium.com; www.datafinder.com,,https://versium.com/california-privacy-policy/,privacy@versium.com,800-395-0164,,1,47.8,0,0,True,False,False,False,295873,1.0,10.0,,cppa-registry-current
142,BH Marketing Group LLC,usmarketinggrp.com,,https://usmarketinggrp.com/privacy-policy,privacy@usmarketinggrp.com,818-574-7774,,1,47.6,0,0,True,False,False,False,267082,1.0,45.0,,cppa-registry-current|cppa-registry-historical
143,True Blue Analytics LLC,trueblueanalytics.org,,https://trueblueanalytics.org/,privacy@trueblueanalytics.org,7735304378,,1,47.6,0,0,True,False,False,False,270044,1.0,0.0,,cppa-registry-current|cppa-registry-historical
